orig.ident	CompositionCluster_CC	cell_type	median_ct_prop
S20-2878-C5	CC6	Endothelial	0.0427917896013398
S20-2878-C5	CC6	FCN1_TAMs	7.95204761495452e-05
S20-2878-C5	CC6	Normal_epithelium	8.01846530031116e-05
S20-2878-C5	CC6	PVL	0.0291738187309305
S20-2878-C5	CC6	SPP1_TAMs	6.6159523342124e-05
S20-2878-C5	CC6	Tregs	0.00791276040968853
S20-2878-C5	CC6	Tumor_epithelium	6.19312961386134e-05
S20-2878-C5	CC6	iCAF	0.169047750939902
S20-2878-C5	CC6	mast_cells	0.0120434406874512
S20-2878-C5	CC6	myCAF	0.42418073201345
S20-2878-C5	CC7	Bcell	0.0001176697895801
S20-2878-C5	CC7	C1Q_TAMs	0.0299228494650872
S20-2878-C5	CC7	CD4_conv	0.000359836441501872
S20-2878-C5	CC7	CD8_NK	0.00504165863657131
S20-2878-C5	CC7	Dendritic_cells	0.0102826301090072
S20-2878-C5	CC7	Endothelial	0.0672835773931419
S20-2878-C5	CC7	FCN1_TAMs	0.00637227268045433
S20-2878-C5	CC7	Normal_epithelium	0.020438873158483
S20-2878-C5	CC7	PVL	0.545856737588331
S20-2878-C5	CC7	SPP1_TAMs	0.000116587165829762
S20-2878-C5	CC7	Tregs	0.00395611610198822
S20-2878-C5	CC7	Tumor_epithelium	0.000171847120565339
S20-2878-C5	CC7	iCAF	0.0388739179355079
S20-2878-C5	CC7	mast_cells	0.0137166017302059
S20-2878-C5	CC7	myCAF	0.125033147710556
S20-2878-C5	CC8	Bcell	0.00487719393939932
S20-2878-C5	CC8	C1Q_TAMs	0.0418855035091907
S20-2878-C5	CC8	CD4_conv	0.0250713683062221
S20-2878-C5	CC8	CD8_NK	0.0332325121544701
S20-2878-C5	CC8	Dendritic_cells	0.0292993187953675
S20-2878-C5	CC8	Endothelial	0.12665170140234
S20-2878-C5	CC8	FCN1_TAMs	0.0401915109603875
S20-2878-C5	CC8	Normal_epithelium	0.0654064577785595
S20-2878-C5	CC8	PVL	0.107986627255385
S20-2878-C5	CC8	SPP1_TAMs	0.000457810306203418
S20-2878-C5	CC8	Tregs	0.0368531511243401
S20-2878-C5	CC8	Tumor_epithelium	0.0248370329744772
S20-2878-C5	CC8	iCAF	0.0421653871283501
S20-2878-C5	CC8	mast_cells	0.0235239468176235
S20-2878-C5	CC8	myCAF	0.167471357048533
S20-2878-C5	CC9	Bcell	6.15209148009519e-05
S20-2878-C5	CC9	C1Q_TAMs	0.0103471695747599
S20-2878-C5	CC9	CD4_conv	0.00245715049204996
S20-2878-C5	CC9	CD8_NK	0.00113754453127112
S20-2878-C5	CC9	Dendritic_cells	0.00600193713526398
S20-2878-C5	CC9	Endothelial	0.0342054727615601
S20-2878-C5	CC9	FCN1_TAMs	0.001948654078517
S20-2878-C5	CC9	Normal_epithelium	0.000104570974395834
S20-2878-C5	CC9	PVL	0.0136260880277537
S20-2878-C5	CC9	SPP1_TAMs	7.83125365230555e-05
S20-2878-C5	CC9	Tregs	0.00979850168572334
S20-2878-C5	CC9	Tumor_epithelium	0.827734878997194
S20-2878-C5	CC9	iCAF	0.00182875137168269
S20-2878-C5	CC9	mast_cells	0.00110898222763001
S20-2878-C5	CC9	myCAF	0.0267050257206513
S20-3289-A3	CC1	Bcell	0.251137200295484
S20-3289-A3	CC1	C1Q_TAMs	0.0683456238015298
S20-3289-A3	CC1	CD4_conv	0.0599416908895097
S20-3289-A3	CC1	CD8_NK	0.000139208296410445
S20-3289-A3	CC1	Dendritic_cells	0.0150782357119223
S20-3289-A3	CC1	Endothelial	0.0734489872775983
S20-3289-A3	CC1	FCN1_TAMs	0.000175293469527675
S20-3289-A3	CC1	Normal_epithelium	0.000121861626666923
S20-3289-A3	CC1	PVL	0.0965381700417168
S20-3289-A3	CC1	SPP1_TAMs	0.000117109939848831
S20-3289-A3	CC1	Tregs	0.0102974245510357
S20-3289-A3	CC1	Tumor_epithelium	0.0016099302633365
S20-3289-A3	CC1	iCAF	0.0946742591515101
