Genes	Subtype
Sfrp4	CAFs myCAF-like:AziziLabs
Cxcl14	CAFs myCAF-like:AziziLabs
Aspn	CAFs myCAF-like:AziziLabs
Thy1	CAFs myCAF-like:AziziLabs
Mfap2	CAFs myCAF-like:AziziLabs
C1S	CAFs myCAF-like:AziziLabs
Serpinf1	CAFs myCAF-like:AziziLabs
Pdgfra	"iCAFs:Chen et al, Bladder paper"
Rgs5	"myCAFs:Chen et al, Bladder paper"
Ly6A	aCAF:Raghu_Kalluri
Ly6C1	aCAF:Raghu_Kalluri
Clec3B	aCAF:Raghu_Kalluri
Col14A1	aCAF:Raghu_Kalluri
Dpt	aCAF:Raghu_Kalluri
Sfrp4	aCAF:Raghu_Kalluri
Gsn	aCAF:Raghu_Kalluri
Efemp1	aCAF:Raghu_Kalluri
Ogn	aCAF:Raghu_Kalluri
Plpp3	aCAF:Raghu_Kalluri
Tnxb	aCAF:Raghu_Kalluri
C3	aCAF:Raghu_Kalluri
Rps28	aCAF:Raghu_Kalluri
Rpl35	aCAF:Raghu_Kalluri
Rpl39	aCAF:Raghu_Kalluri
Rps29	aCAF:Raghu_Kalluri
C4B	aCAF:Raghu_Kalluri
Rpl37A	aCAF:Raghu_Kalluri
Fn1	aCAF:Raghu_Kalluri
Ifi27L2A	aCAF:Raghu_Kalluri
Rpl22L1	aCAF:Raghu_Kalluri
Rpl38	aCAF:Raghu_Kalluri
Vegfd	aCAF:Raghu_Kalluri
Ifi205	aCAF:Raghu_Kalluri
Ackr3	aCAF:Raghu_Kalluri
Pcolce2	aCAF:Raghu_Kalluri
Sfrp2	aCAF:Raghu_Kalluri
Adamts5	aCAF:Raghu_Kalluri
Rpl41	aCAF:Raghu_Kalluri
Cd248	aCAF:Raghu_Kalluri
Svep1	aCAF:Raghu_Kalluri
Rps27	aCAF:Raghu_Kalluri
Rpl37	aCAF:Raghu_Kalluri
Lum	aCAF:Raghu_Kalluri
Serf2	aCAF:Raghu_Kalluri
Tppp3	aCAF:Raghu_Kalluri
Ddr2	aCAF:Raghu_Kalluri
Prss23	aCAF:Raghu_Kalluri
C1S1	aCAF:Raghu_Kalluri
Selenow	aCAF:Raghu_Kalluri
S100A13	aCAF:Raghu_Kalluri
Il33	aCAF:Raghu_Kalluri
Igfbp4	aCAF:Raghu_Kalluri
Ccl11	aCAF:Raghu_Kalluri
Tgfbr3	aCAF:Raghu_Kalluri
Ebf1	aCAF:Raghu_Kalluri
Cavin1	aCAF:Raghu_Kalluri
Celf2	aCAF:Raghu_Kalluri
Heg1	aCAF:Raghu_Kalluri
Nid1	aCAF:Raghu_Kalluri
Fbn1	aCAF:Raghu_Kalluri
Scara3	aCAF:Raghu_Kalluri
Dcn	aCAF:Raghu_Kalluri
Col3A1	aCAF:Raghu_Kalluri
Cd55	aCAF:Raghu_Kalluri
Timp2	aCAF:Raghu_Kalluri
Scara5	aCAF:Raghu_Kalluri
Adgrd1	aCAF:Raghu_Kalluri
Ptx3	aCAF:Raghu_Kalluri
Slfn5	aCAF:Raghu_Kalluri
Man1A	aCAF:Raghu_Kalluri
Anxa3	aCAF:Raghu_Kalluri
Klf4	aCAF:Raghu_Kalluri
Hp	aCAF:Raghu_Kalluri
Sema3C	aCAF:Raghu_Kalluri
Gfpt2	aCAF:Raghu_Kalluri
Marcks	aCAF:Raghu_Kalluri
Cxcl12	aCAF:Raghu_Kalluri
Qpct	aCAF:Raghu_Kalluri
Nfia	aCAF:Raghu_Kalluri
Sod3	aCAF:Raghu_Kalluri
S100A10	aCAF:Raghu_Kalluri
Gstm1	aCAF:Raghu_Kalluri
Ahnak	aCAF:Raghu_Kalluri
Postn	aCAF:Raghu_Kalluri
Ctsh	aCAF:Raghu_Kalluri
Uap1	aCAF:Raghu_Kalluri
Sned1	aCAF:Raghu_Kalluri
Emilin2	aCAF:Raghu_Kalluri
Igf1	aCAF:Raghu_Kalluri
Thbd	aCAF:Raghu_Kalluri
Fstl1	aCAF:Raghu_Kalluri
Axl	aCAF:Raghu_Kalluri
Smpd3	aCAF:Raghu_Kalluri
Hbb-Bs	aCAF:Raghu_Kalluri
Ugdh	aCAF:Raghu_Kalluri
Cd47	aCAF:Raghu_Kalluri
Pi16	aCAF:Raghu_Kalluri
Mfap5	aCAF:Raghu_Kalluri
Egr1	aCAF:Raghu_Kalluri
Sbsn	aCAF:Raghu_Kalluri
Zfp36L2	aCAF:Raghu_Kalluri
Tgfbr2	aCAF:Raghu_Kalluri
Hba-A2	aCAF:Raghu_Kalluri
Hba-A1	aCAF:Raghu_Kalluri
Ptn	bCAF:Raghu_Kalluri
Mest	bCAF:Raghu_Kalluri
Cpxm2	bCAF:Raghu_Kalluri
Igfbp3	bCAF:Raghu_Kalluri
Fgl2	bCAF:Raghu_Kalluri
Malat1	bCAF:Raghu_Kalluri
Fxyd6	bCAF:Raghu_Kalluri
Thy1	bCAF:Raghu_Kalluri
Cilp	bCAF:Raghu_Kalluri
Gpx3	bCAF:Raghu_Kalluri
Igfbp7	bCAF:Raghu_Kalluri
Serpine2	bCAF:Raghu_Kalluri
Gdf10	bCAF:Raghu_Kalluri
Itm2A	bCAF:Raghu_Kalluri
Sparcl1	bCAF:Raghu_Kalluri
Dbp	bCAF:Raghu_Kalluri
Olfml3	bCAF:Raghu_Kalluri
Bgn	bCAF:Raghu_Kalluri
Mdk	bCAF:Raghu_Kalluri
Tsc22D3	bCAF:Raghu_Kalluri
G0S2	bCAF:Raghu_Kalluri
Cygb	bCAF:Raghu_Kalluri
Crispld2	bCAF:Raghu_Kalluri
Nbl1	bCAF:Raghu_Kalluri
Hes1	bCAF:Raghu_Kalluri
Nr2F2	bCAF:Raghu_Kalluri
Hmgb1	bCAF:Raghu_Kalluri
Cxcl14	bCAF:Raghu_Kalluri
Emp1	bCAF:Raghu_Kalluri
Xist	bCAF:Raghu_Kalluri
Ptma	bCAF:Raghu_Kalluri
Selenop	bCAF:Raghu_Kalluri
Cdh11	bCAF:Raghu_Kalluri
Ypel3	bCAF:Raghu_Kalluri
Mfap4	bCAF:Raghu_Kalluri
Ifitm1	bCAF:Raghu_Kalluri
Srsf2	bCAF:Raghu_Kalluri
Junb	bCAF:Raghu_Kalluri
Abca8A	bCAF:Raghu_Kalluri
Cdkn1C	bCAF:Raghu_Kalluri
Spp1	cCAF:Raghu_Kalluri
Timp1	cCAF:Raghu_Kalluri
Serpine2	cCAF:Raghu_Kalluri
Crlf1	cCAF:Raghu_Kalluri
Sdc1	cCAF:Raghu_Kalluri
Bgn	cCAF:Raghu_Kalluri
Tnc	cCAF:Raghu_Kalluri
Ndufa4L2	cCAF:Raghu_Kalluri
Cald1	cCAF:Raghu_Kalluri
Col12A1	cCAF:Raghu_Kalluri
Mmp14	cCAF:Raghu_Kalluri
Inhba	cCAF:Raghu_Kalluri
Rnf149	cCAF:Raghu_Kalluri
Tgfb1	cCAF:Raghu_Kalluri
Nkd2	cCAF:Raghu_Kalluri
Ltbp2	cCAF:Raghu_Kalluri
Smim3	cCAF:Raghu_Kalluri
Brinp1	cCAF:Raghu_Kalluri
Cadm4	cCAF:Raghu_Kalluri
Ncam1	cCAF:Raghu_Kalluri
Slc16A3	cCAF:Raghu_Kalluri
Spon1	cCAF:Raghu_Kalluri
Wisp1	cCAF:Raghu_Kalluri
Pdgfrl	cCAF:Raghu_Kalluri
Ddah1	cCAF:Raghu_Kalluri
Plaur	cCAF:Raghu_Kalluri
Runx1	cCAF:Raghu_Kalluri
Ay036118	cCAF:Raghu_Kalluri
Gm42418	cCAF:Raghu_Kalluri
Ctsc	cCAF:Raghu_Kalluri
Vmp1	cCAF:Raghu_Kalluri
Gapdh	cCAF:Raghu_Kalluri
Pmepa1	cCAF:Raghu_Kalluri
