Genes	Subtype
CLEC1B	Endothelial cell:SCTyper
CLEC2B	Endothelial cell:SCTyper
CLEC4G	Endothelial cell:SCTyper
CLEC4M	Endothelial cell:SCTyper
CRBN	Endothelial cell:SCTyper
CRHBP	Endothelial cell:SCTyper
CTSL	Endothelial cell:SCTyper
DCLRE1C	Endothelial cell:SCTyper
DIPK2A	Endothelial cell:SCTyper
DLC1	Endothelial cell:SCTyper
DLG1	Endothelial cell:SCTyper
DLK1	Endothelial cell:SCTyper
DNASE1L3	Endothelial cell:SCTyper
DOCK1	Endothelial cell:SCTyper
DUSP5	Endothelial cell:SCTyper
EFNB2	Endothelial cell:SCTyper
ENG	Endothelial cell:SCTyper
F8	Endothelial cell:SCTyper
FCN2	Endothelial cell:SCTyper
FCN3	Endothelial cell:SCTyper
FILIP1	Endothelial cell:SCTyper
FOSB	Endothelial cell:SCTyper
FXYD6	Endothelial cell:SCTyper
GBP4	Endothelial cell:SCTyper
GGA2	Endothelial cell:SCTyper
GNG11	Endothelial cell:SCTyper
HES1	Endothelial cell:SCTyper
HYI	Endothelial cell:SCTyper
IL1R1	Endothelial cell:SCTyper
IL33	Endothelial cell:SCTyper
KDR	Endothelial cell:SCTyper
KIF1B	Endothelial cell:SCTyper
KLHL28	Endothelial cell:SCTyper
LDB2	Endothelial cell:SCTyper
MCAM	Endothelial cell:SCTyper
MCM3AP	Endothelial cell:SCTyper
MEF2C	Endothelial cell:SCTyper
MFN1	Endothelial cell:SCTyper
MGAT5	Endothelial cell:SCTyper
MPZL3	Endothelial cell:SCTyper
MRC1	Endothelial cell:SCTyper
OIT3	Endothelial cell:SCTyper
PIK3C2A	Endothelial cell:SCTyper
PPWD1	Endothelial cell:SCTyper
PTPRC	Endothelial cell:SCTyper
RASGEF1B	Endothelial cell:SCTyper
RASGRP3	Endothelial cell:SCTyper
RELN	Endothelial cell:SCTyper
RIN2	Endothelial cell:SCTyper
SECISBP2L	Endothelial cell:SCTyper
STAB1	Endothelial cell:SCTyper
STRN3	Endothelial cell:SCTyper
TCF12	Endothelial cell:SCTyper
TEX264	Endothelial cell:SCTyper
TFRC	Endothelial cell:SCTyper
TRAPPC11	Endothelial cell:SCTyper
TSPAN7	Endothelial cell:SCTyper
USP48	Endothelial cell:SCTyper
VWF	Endothelial cell:SCTyper
ZNF286B	Endothelial cell:SCTyper
STAB2	Endothelial cell:SCTyper
CD34	Endothelial cell:SCTyper
PECAM1	Endothelial cell:SCTyper
PECAM1	Endothelial cells:SCTyper
VWF	Endothelial cells:SCTyper
CDH5	Endothelial cells:SCTyper
BMP2	Endothelial cells:SCTyper
BMP4	Endothelial cells:SCTyper
CD34	Endothelial cells:SCTyper
CD55	Endothelial cells:SCTyper
FLT1	Endothelial cells:SCTyper
MED1	Endothelial cells:SCTyper
TGFBR1	Endothelial cells:SCTyper
TMEM98	Endothelial cells:SCTyper
TNFSF12	Endothelial cells:SCTyper
CD93	Endothelial cells:SCTyper
SLCO1A4	Endothelial cells:SCTyper
CLDN5	Endothelial cells:SCTyper
ICAM1	Endothelial cells:SCTyper
GNG11	Endothelial cells:SCTyper
TGFBR2	Endothelial cells:SCTyper
NOTCH4	Endothelial cells:SCTyper
ADGRL4	Endothelial cells:SCTyper
EMCN	Endothelial cells:SCTyper
ENG	Endothelial cells:SCTyper
PECAM1	Endothelial cells:SCTyper
PLAC8	Endothelial cells:SCTyper
PLVAP	Endothelial cells:SCTyper
TEK	Endothelial cells:SCTyper
KDR	Endothelial cells:SCTyper
VWF	Endothelial cells:SCTyper
MMRN1	Endothelial cells:SCTyper
CD93	Endothelial cells:SCTyper
PECAM1	Endothelial cells:SCTyper
VWF	Endothelial cells:SCTyper
A2M	Endothelial cells:SCTyper
APOLD1	Endothelial cells:SCTyper
FLT1	Endothelial cells:SCTyper
TM4SF1	Endothelial cells:SCTyper
CD34	Endothelial cells:SCTyper
MCAM	Endothelial cells:SCTyper
ENG	Endothelial cells:SCTyper
PTPRC	Endothelial cells:SCTyper
VCAM1	Endothelial cells:SCTyper
CDH5	Endothelial cells:SCTyper
CD34	Endothelial cell:SCTyper
EGFL7	Endothelial cell:SCTyper
EMCN	Endothelial cell:SCTyper
ESAM	Endothelial cell:SCTyper
FLT1	Endothelial cell:SCTyper
KDR	Endothelial cell:SCTyper
MCAM	Endothelial cell:SCTyper
PECAM1	Endothelial cell:SCTyper
RAMP2	Endothelial cell:SCTyper
TEK	Endothelial cell:SCTyper
VWF	Endothelial cell:SCTyper
CD34	Endothelial cell:SCTyper
CDH5	Endothelial cell:SCTyper
PECAM1	Endothelial cell:SCTyper
VWF	Endothelial cells:SCTyper
PECAM1	Endothelial cells:SCTyper
CDH5	Endothelial cells:SCTyper
FABP4	Endothelial cells:SCTyper
AQP7	Endothelial cells:SCTyper
Npr3	Endothelial cells:SCTyper
Plvap	Endothelial cells:SCTyper
Kdr	Endothelial cells:SCTyper
CD34	Endothelial cells:SCTyper
VWF	Endothelial cells:SCTyper
CDH5	Endothelial cells:SCTyper
FLI1	Endothelial cells:SCTyper
ERG	Endothelial cells:SCTyper
VWF	Endothelial cells:SCTyper
CA4	Endothelial cells:SCTyper
PECAM1	Endothelial cells:SCTyper
PALMD	Endothelial cells:SCTyper
NOSTRIN	Endothelial cells:SCTyper
MECOM	Endothelial cells:SCTyper
PTPRB	Endothelial cells:SCTyper
VWF	Endothelial cells:SCTyper
ANO2	Endothelial cells:SCTyper
BTNL9	Endothelial cells:SCTyper
EMCN	Endothelial cells:SCTyper
CADM2	Endothelial cells:SCTyper
LDB2	Endothelial cells:SCTyper
ADGRL4	Endothelial cells:SCTyper
PLCB4	Endothelial cells:SCTyper
ARL15	Endothelial cells:SCTyper
KIAA1217	Endothelial cells:SCTyper
FLT1	Endothelial cells:SCTyper
CYYR1	Endothelial cells:SCTyper
PECAM1	Endothelial cells:SCTyper
Jam2	Endothelial cells:SCTyper
Mecom	Endothelial cells:SCTyper
Ptprb	Endothelial cells:SCTyper
Pecam1	Endothelial cells:SCTyper
Cdh13	Endothelial cells:SCTyper
MMRN1	Lymphatic Endothelial cells:SCTyper
AL357507.1	Lymphatic Endothelial cells:SCTyper
LINC02147	Lymphatic Endothelial cells:SCTyper
NRG3	Lymphatic Endothelial cells:SCTyper
RELN	Lymphatic Endothelial cells:SCTyper
CCL21	Lymphatic Endothelial cells:SCTyper
PROX1	Lymphatic Endothelial cells:SCTyper
STOX2	Lymphatic Endothelial cells:SCTyper
TFPI	Lymphatic Endothelial cells:SCTyper
PPFIBP1	Lymphatic Endothelial cells:SCTyper
MPP7	Lymphatic Endothelial cells:SCTyper
PTPRE	Lymphatic Endothelial cells:SCTyper
PGM5	Lymphatic Endothelial cells:SCTyper
SNTG2	Lymphatic Endothelial cells:SCTyper
ST6GALNAC3	Lymphatic Endothelial cells:SCTyper
PDE1A	Lymphatic Endothelial cells:SCTyper
AC007319.1	Lymphatic Endothelial cells:SCTyper
GPM6A	Lymphatic Endothelial cells:SCTyper
RHOJ	Lymphatic Endothelial cells:SCTyper
SMAD1	Lymphatic Endothelial cells:SCTyper
Reln	Lymphatic Endothelial cells:SCTyper
Mmrn1	Lymphatic Endothelial cells:SCTyper
Galnt18	Lymphatic Endothelial cells:SCTyper
Sema6a	Lymphatic Endothelial cells:SCTyper
EDN1	Endothelial cells:SCTyper
CLDN5	Endothelial cells:SCTyper
ACKR1	Endothelial cells:SCTyper
CD234	Endothelial cells:SCTyper
INSR	Endothelial cells:SCTyper
RGCC	Endothelial cells:SCTyper
CTNNB1	Endothelial cells:SCTyper
CLDN5	Endothelial cells:SCTyper
ACKR1	Endothelial cells:SCTyper
SELE	Endothelial cells:SCTyper
TM4SF1	Endothelial cells:SCTyper
IGFBP7	Endothelial cells:Raghu_Kalluri
FABP4	Endothelial cells:Raghu_Kalluri
GNG11	Endothelial cells:Raghu_Kalluri
PLVAP	Endothelial cells:Raghu_Kalluri
EGFL7	Endothelial cells:Raghu_Kalluri
SPARC	Endothelial cells:Raghu_Kalluri
LY6C1	Endothelial cells:Raghu_Kalluri
CTLA2A	Endothelial cells:Raghu_Kalluri
IGFBP3	Endothelial cells:Raghu_Kalluri
AQP1	Endothelial cells:Raghu_Kalluri
COL4A1	Endothelial cells:Raghu_Kalluri
RAMP2	Endothelial cells:Raghu_Kalluri
EMCN	Endothelial cells:Raghu_Kalluri
CRIP2	Endothelial cells:Raghu_Kalluri
PECAM1	Endothelial cells:Raghu_Kalluri
ECSCR	Endothelial cells:Raghu_Kalluri
CDH5	Endothelial cells:Raghu_Kalluri
COL4A2	Endothelial cells:Raghu_Kalluri
ESAM	Endothelial cells:Raghu_Kalluri
TM4SF1	Endothelial cells:Raghu_Kalluri
ENG	Endothelial cells:Raghu_Kalluri
CLDN5	Endothelial cells:Raghu_Kalluri
CD34	Endothelial cells:Raghu_Kalluri
GPIHBP1	Endothelial cells:Raghu_Kalluri
CAV1	Endothelial cells:Raghu_Kalluri
SPARCL1	Endothelial cells:Raghu_Kalluri
SLC9A3R2	Endothelial cells:Raghu_Kalluri
FLT1	Endothelial cells:Raghu_Kalluri
CD93	Endothelial cells:Raghu_Kalluri
KDR	Endothelial cells:Raghu_Kalluri
PLPP1	Endothelial cells:Raghu_Kalluri
SLCO2A1	Endothelial cells:Raghu_Kalluri
PTPRB	Endothelial cells:Raghu_Kalluri
FAM167B	Endothelial cells:Raghu_Kalluri
CAVIN2	Endothelial cells:Raghu_Kalluri
GRRP1	Endothelial cells:Raghu_Kalluri
APLNR	Endothelial cells:Raghu_Kalluri
LTBP4	Endothelial cells:Raghu_Kalluri
TMEM252	Endothelial cells:Raghu_Kalluri
CLEC14A	Endothelial cells:Raghu_Kalluri
EPAS1	Endothelial cells:Raghu_Kalluri
MMRN2	Endothelial cells:Raghu_Kalluri
CYYR1	Endothelial cells:Raghu_Kalluri
VWF	Endothelial cells:Raghu_Kalluri
HSPG2	Endothelial cells:Raghu_Kalluri
ADGRF5	Endothelial cells:Raghu_Kalluri
PCDH17	Endothelial cells:Raghu_Kalluri
VWA1	Endothelial cells:Raghu_Kalluri
MGLL	Endothelial cells:Raghu_Kalluri
ADGRL4	Endothelial cells:Raghu_Kalluri
PODXL	Endothelial cells:Raghu_Kalluri
TIE1	Endothelial cells:Raghu_Kalluri
CRACR2B	Endothelial cells:Raghu_Kalluri
APOLD1	Endothelial cells:Raghu_Kalluri
MYCT1	Endothelial cells:Raghu_Kalluri
EFNA1	Endothelial cells:Raghu_Kalluri
MCAM	Endothelial cells:Raghu_Kalluri
BVHT	Endothelial cells:Raghu_Kalluri
JAM2	Endothelial cells:Raghu_Kalluri
SOX18	Endothelial cells:Raghu_Kalluri
PREX2	Endothelial cells:Raghu_Kalluri
KANK3	Endothelial cells:Raghu_Kalluri
USHBP1	Endothelial cells:Raghu_Kalluri
RASIP1	Endothelial cells:Raghu_Kalluri
ABCG2	Endothelial cells:Raghu_Kalluri
MEOX1	Endothelial cells:Raghu_Kalluri
TEK	Endothelial cells:Raghu_Kalluri
TSPAN12	Endothelial cells:Raghu_Kalluri
TMEM204	Endothelial cells:Raghu_Kalluri
LDB2	Endothelial cells:Raghu_Kalluri
PLSCR2	Endothelial cells:Raghu_Kalluri
ROBO4	Endothelial cells:Raghu_Kalluri
RAPGEF5	Endothelial cells:Raghu_Kalluri
SEMA3F	Endothelial cells:Raghu_Kalluri
DLC1	Endothelial cells:Raghu_Kalluri
TSPAN7	Endothelial cells:Raghu_Kalluri
SEMA6A	Endothelial cells:Raghu_Kalluri
PRSS23	Endothelial cells:Raghu_Kalluri
CD300LG	Endothelial cells:Raghu_Kalluri
TMEM88	Endothelial cells:Raghu_Kalluri
DOCK9	Endothelial cells:Raghu_Kalluri
CAVIN3	Endothelial cells:Raghu_Kalluri
TJP1	Endothelial cells:Raghu_Kalluri
LIMS2	Endothelial cells:Raghu_Kalluri
CALCRL	Endothelial cells:Raghu_Kalluri
CAV2	Endothelial cells:Raghu_Kalluri
CD200	Endothelial cells:Raghu_Kalluri
NFIB	Endothelial cells:Raghu_Kalluri
EHD2	Endothelial cells:Raghu_Kalluri
