Genes	Subtype
COL3A1	CAFs myCAF-like:AziziLabs
LUM	CAFs myCAF-like:AziziLabs
SFRP2	CAFs myCAF-like:AziziLabs
POSTN	CAFs myCAF-like:AziziLabs
MMP11	CAFs myCAF-like:AziziLabs
CTHRC1	CAFs myCAF-like:AziziLabs
FN1	CAFs myCAF-like:AziziLabs
SPARC	CAFs myCAF-like:AziziLabs
DCN	CAFs myCAF-like:AziziLabs
COL6A3	CAFs myCAF-like:AziziLabs
BGN	CAFs myCAF-like:AziziLabs
COL6A2	CAFs myCAF-like:AziziLabs
COL6A1	CAFs myCAF-like:AziziLabs
CTGF	CAFs myCAF-like:AziziLabs
AEBP1	CAFs myCAF-like:AziziLabs
COL5A2	CAFs myCAF-like:AziziLabs
VCAN	CAFs myCAF-like:AziziLabs
CTSK	CAFs myCAF-like:AziziLabs
RARRES2	CAFs myCAF-like:AziziLabs
TIMP1	CAFs myCAF-like:AziziLabs
CCDC80	CAFs myCAF-like:AziziLabs
MMP2	CAFs myCAF-like:AziziLabs
SFRP4	CAFs myCAF-like:AziziLabs
CXCL14	CAFs myCAF-like:AziziLabs
ASPN	CAFs myCAF-like:AziziLabs
THY1	CAFs myCAF-like:AziziLabs
MFAP2	CAFs myCAF-like:AziziLabs
C1S	CAFs myCAF-like:AziziLabs
SERPINF1	CAFs myCAF-like:AziziLabs
COL1A1	"Fibroblasts:Chen et al, Bladder paper"
PDGFRA	"iCAFs:Chen et al, Bladder paper"
RGS5	"myCAFs:Chen et al, Bladder paper"
PAX6	Fibroblasts:SCTyper
COL1A1	Fibroblasts:SCTyper
TGFB1	Fibroblasts:SCTyper
ACTA2	Fibroblasts:SCTyper
ICAM1	Fibroblasts:SCTyper
FBLN1	Fibroblasts:SCTyper
CRHBP	Fibroblasts:SCTyper
FN1	Fibroblasts:SCTyper
PDGFRA	Fibroblasts:SCTyper
COL3A1	Fibroblasts:SCTyper
COL5A2	Fibroblasts:SCTyper
DPT	Fibroblasts:SCTyper
FN1	Fibroblasts:SCTyper
GSN	Fibroblasts:SCTyper
LRP1	Fibroblasts:SCTyper
PDGFRA	Fibroblasts:SCTyper
TCF21	Fibroblasts:SCTyper
DCN	Fibroblasts:SCTyper
GSN	Fibroblasts:SCTyper
PDGFRA	Fibroblasts:SCTyper
COL1A1	Fibroblasts:SCTyper
C7	Fibroblasts:SCTyper
LUM	Fibroblasts:SCTyper
Tcf21	Fibroblasts:SCTyper
Pdgfra	Fibroblasts:SCTyper
COL1A1	Fibroblasts:SCTyper
MDK	Fibroblasts:SCTyper
CXCL14	Fibroblasts:SCTyper
PTN	Fibroblasts:SCTyper
CTNNB1	Fibroblasts:SCTyper
COL3A1	Fibroblasts:SCTyper
RGS5	Fibroblasts:SCTyper
ACTA2	Fibroblasts:SCTyper
DCN	Fibroblasts:Raghu_Kalluri
COL3A1	Fibroblasts:Raghu_Kalluri
SPARC	Fibroblasts:Raghu_Kalluri
COL1A2	Fibroblasts:Raghu_Kalluri
