Genes	Subtype
GPC3	Hepatocytes:SCTyper
AHR	Hepatocytes:SCTyper
CPS1	Hepatocytes:SCTyper
GLS2	Hepatocytes:SCTyper
PCK1	Hepatocytes:SCTyper
TAT	Hepatocytes:SCTyper
WT1	Hepatocytes:SCTyper
PRRG4	Hepatocytes:SCTyper
SULT1A1	Hepatocytes:SCTyper
APOH	Hepatocytes:SCTyper
CTNNB1	Hepatocytes:SCTyper
ABCC3	Hepatocytes:SCTyper
FGB	Hepatocytes:SCTyper
AQP3	Hepatocytes:SCTyper
PLSCR1	Hepatocytes:SCTyper
FGA	Hepatocytes:SCTyper
APOB	Hepatocytes:SCTyper
ANG	Hepatocytes:SCTyper
ANXA13	Hepatocytes:SCTyper
SAT2	Hepatocytes:SCTyper
SFRP5	Hepatocytes:SCTyper
A1CF	Hepatocytes:SCTyper
APOA1	Hepatocytes:SCTyper
BNIP3	Hepatocytes:SCTyper
FGL1	Hepatocytes:SCTyper
PAH	Hepatocytes:SCTyper
SERPINA6	Hepatocytes:SCTyper
APOA2	Hepatocytes:SCTyper
AZGP1	Hepatocytes:SCTyper
FGG	Hepatocytes:SCTyper
APOC3	Hepatocytes:SCTyper
DEFB1	Hepatocytes:SCTyper
TM4SF4	Hepatocytes:SCTyper
GC	Hepatocytes:SCTyper
AMBP	Hepatocytes:SCTyper
ORM1	Hepatocytes:SCTyper
TTR	Hepatocytes:SCTyper
HAL	Hepatocytes:SCTyper
ASS1	Hepatocytes:SCTyper
SCD	Hepatocytes:SCTyper
HMGCS1	Hepatocytes:SCTyper
ACSS2	Hepatocytes:SCTyper
TM7SF2	Hepatocytes:SCTyper
SEC16B	Hepatocytes:SCTyper
SLBP	Hepatocytes:SCTyper
RND3	Hepatocytes:SCTyper
BCHE	Hepatocytes:SCTyper
GHR	Hepatocytes:SCTyper
ALDH6A1	Hepatocytes:SCTyper
MASP2	Hepatocytes:SCTyper
AKR1C1	Hepatocytes:SCTyper
HAMP	Hepatocytes:SCTyper
GLUL	Hepatocytes:SCTyper
ACLY	Hepatocytes:SCTyper
ASL	Hepatocytes:SCTyper
TMEM97	Hepatocytes:SCTyper
CP	Hepatocytes:SCTyper
SLPI	Hepatocytes:SCTyper
ACAT2	Hepatocytes:SCTyper
TM4SF5	Hepatocytes:SCTyper
MSMO1	Hepatocytes:SCTyper
LEPR	Hepatocytes:SCTyper
RCAN1	Hepatocytes:SCTyper
AR	Hepatocytes:SCTyper
RPP25L	Hepatocytes:SCTyper
HSD11B1	Hepatocytes:SCTyper
APOM	Hepatocytes:SCTyper
TKFC	Hepatocytes:SCTyper
G0S2	Hepatocytes:SCTyper
PON3	Hepatocytes:SCTyper
C1orf53	Hepatocytes:SCTyper
TTC36	Hepatocytes:SCTyper
FST	Hepatocytes:SCTyper
MCC	Hepatocytes:SCTyper
AQP9	Hepatocytes:SCTyper
GSTA2	Hepatocytes:SCTyper
NNT	Hepatocytes:SCTyper
SAA4	Hepatocytes:SCTyper
MRPS18C	Hepatocytes:SCTyper
OCIAD1	Hepatocytes:SCTyper
APOA5	Hepatocytes:SCTyper
ENTPD5	Hepatocytes:SCTyper
C4B	Hepatocytes:SCTyper
EID2	Hepatocytes:SCTyper
TP53INP2	Hepatocytes:SCTyper
ATIC	Hepatocytes:SCTyper
SERPINH1	Hepatocytes:SCTyper
SAMD5	Hepatocytes:SCTyper
GRB14	Hepatocytes:SCTyper
CD3G	Hepatocytes:SCTyper
RHOB	Hepatocytes:SCTyper
EPB41L4B	Hepatocytes:SCTyper
GPAT4	Hepatocytes:SCTyper
SPTBN1	Hepatocytes:SCTyper
SDC2	Hepatocytes:SCTyper
PHLDA1	Hepatocytes:SCTyper
WTAP	Hepatocytes:SCTyper
ACADM	Hepatocytes:SCTyper
