Genes	Subtype
HLA-DPB1	Macrophage M2:AziziLabs
MS4A6A	Macrophage M2:AziziLabs
SOD2	Macrophage M2:AziziLabs
HLA-DQB1	Macrophage M2:AziziLabs
CCL2	Macrophage M2:AziziLabs
C15orf48	Macrophage M2:AziziLabs
FCGR3A	Macrophage M2:AziziLabs
PSAP	Macrophage M2:AziziLabs
SERPINA1	Macrophage M2:AziziLabs
TNFSF13B	Macrophage M2:AziziLabs
TYMP	Macrophage M2:AziziLabs
GRN	Macrophage M2:AziziLabs
SPI1	Macrophage M2:AziziLabs
APOBEC3A	Macrophage M2:AziziLabs
IFIT2	Macrophage M2:AziziLabs
CTSC	Macrophage M2:AziziLabs
IL1B	Macrophage M2:AziziLabs
CD14	Macrophage M2:AziziLabs
CXCL8	Macrophage M2:AziziLabs
SPP1	Macrophage M2:AziziLabs
TMEM176B	Macrophage M2:AziziLabs
CCL3L3	Macrophage M2:AziziLabs
CTSD	Macrophage M2:AziziLabs
CYBB	Macrophage M2:AziziLabs
IL4I1	Macrophage M2:AziziLabs
G0S2	Macrophage M2:AziziLabs
LILRB4	Macrophage M2:AziziLabs
CTSZ	Macrophage M2:AziziLabs
GPX1	Macrophage M2:AziziLabs
CTSS	Macrophage M2:AziziLabs
BCL2A1	Macrophage M2:AziziLabs
IL1RN	Macrophage M2:AziziLabs
PLAUR	Macrophage M2:AziziLabs
NPC2	Macrophage M2:AziziLabs
CST3	Macrophage M2:AziziLabs
LYZ	Monocytes:AziziLabs
IL1B	Monocytes:AziziLabs
G0S2	Monocytes:AziziLabs
TYROBP	Monocytes:AziziLabs
FCN1	Monocytes:AziziLabs
AIF1	Monocytes:AziziLabs
PLAUR	Monocytes:AziziLabs
LST1	Monocytes:AziziLabs
FCER1G	Monocytes:AziziLabs
S100A9	Monocytes:AziziLabs
CXCL8	Monocytes:AziziLabs
HLA-DRA	Monocytes:AziziLabs
SERPINA1	Monocytes:AziziLabs
C15orf48	Monocytes:AziziLabs
HLA-DPB1	Monocytes:AziziLabs
HLA-DPA1	Monocytes:AziziLabs
BCL2A1	Monocytes:AziziLabs
MS4A6A	Monocytes:AziziLabs
EREG	Monocytes:AziziLabs
CXCL2	Monocytes:AziziLabs
CTSS	Monocytes:AziziLabs
GPX1	Monocytes:AziziLabs
HLA-DRB1	Monocytes:AziziLabs
SPI1	Monocytes:AziziLabs
HLA-DRB5	Monocytes:AziziLabs
SOD2	Monocytes:AziziLabs
AREG	Monocytes:AziziLabs
HLA-DQB1	Monocytes:AziziLabs
SAT1	Monocytes:AziziLabs
CST3	Monocytes:AziziLabs
HBEGF	Monocytes:AziziLabs
HLA-DQA1	Monocytes:AziziLabs
CD74	Monocytes:AziziLabs
C1orf162	Monocytes:AziziLabs
CXCL10	Monocytes:AziziLabs
CYBB	Monocytes:AziziLabs
CD68	Monocytes:AziziLabs
C5AR1	Monocytes:AziziLabs
FGL2	Monocytes:AziziLabs
TYMP	Monocytes:AziziLabs
RGS2	Monocytes:AziziLabs
PLEK	Monocytes:AziziLabs
S100A8	Monocytes:AziziLabs
NAMPT	Monocytes:AziziLabs
CD14	Monocytes:AziziLabs
COTL1	Monocytes:AziziLabs
OLR1	Monocytes:AziziLabs
APOBEC3A	Monocytes:AziziLabs
CXCL3	Monocytes:AziziLabs
C1QA	Monocytes:AziziLabs
MNDA	Monocytes:AziziLabs
NPC2	Monocytes:AziziLabs
S100A12	Monocytes:AziziLabs
C1QB	Monocytes:AziziLabs
IL1RN	Monocytes:AziziLabs
C1QC	Monocytes:AziziLabs
