Genes	Subtype
IGLL5	Naive B cells:SCTyper
CD19	Memory B cells:SCTyper
CD27	Memory B cells:SCTyper
IgD	Memory B cells:SCTyper
CD38	Memory B cells:SCTyper
CD24	Memory B cells:SCTyper
CD20	Memory B cells:SCTyper
MS4A1	Memory B cells:SCTyper
PTPRC	Memory B cells:SCTyper
PAX5	Memory B cells:SCTyper
CD24	Memory B cells:SCTyper
CD38	Memory B cells:SCTyper
CD79A	Memory B cells:SCTyper
JCHAIN	Memory B cells:SCTyper
SSR4	Memory B cells:SCTyper
FKBP11	Memory B cells:SCTyper
SEC11C	Memory B cells:SCTyper
DERL3	Memory B cells:SCTyper
PRDX4	Memory B cells:SCTyper
IGLL5	Memory B cells:SCTyper
CD79B	Memory B cells:SCTyper
TCL1A	Memory B cells:SCTyper
IGLL5	Memory B cells:SCTyper
HLA-DQA1	Memory B cells:SCTyper
HLA-DQB1	Memory B cells:SCTyper
CD138	Memory B cells:SCTyper
CD38	Memory B cells:SCTyper
CD27	Memory B cells:SCTyper
VPREB3	Memory B cells:SCTyper
IGLL5	Memory B cells:SCTyper
CD19	Plasma B cells:SCTyper
CD27	Plasma B cells:SCTyper
IgD	Plasma B cells:SCTyper
CD38	Plasma B cells:SCTyper
CD24	Plasma B cells:SCTyper
CD20	Plasma B cells:SCTyper
MS4A1	Plasma B cells:SCTyper
PTPRC	Plasma B cells:SCTyper
PAX5	Plasma B cells:SCTyper
CD24	Plasma B cells:SCTyper
CD38	Plasma B cells:SCTyper
CD79A	Plasma B cells:SCTyper
JCHAIN	Plasma B cells:SCTyper
SSR4	Plasma B cells:SCTyper
FKBP11	Plasma B cells:SCTyper
SEC11C	Plasma B cells:SCTyper
DERL3	Plasma B cells:SCTyper
PRDX4	Plasma B cells:SCTyper
IGLL5	Plasma B cells:SCTyper
CD79B	Plasma B cells:SCTyper
TCL1A	Plasma B cells:SCTyper
IGLL5	Plasma B cells:SCTyper
HLA-DQA1	Plasma B cells:SCTyper
HLA-DQB1	Plasma B cells:SCTyper
CD138	Plasma B cells:SCTyper
CD38	Plasma B cells:SCTyper
VPREB3	Plasma B cells:SCTyper
IGLL5	Plasma B cells:SCTyper
CD79A	B cells 1:Raghu_Kalluri
CD74	B cells 1:Raghu_Kalluri
LY6D	B cells 1:Raghu_Kalluri
IGLC2	B cells 1:Raghu_Kalluri
CD79B	B cells 1:Raghu_Kalluri
IGLC3	B cells 1:Raghu_Kalluri
H2-DMB2	B cells 1:Raghu_Kalluri
EBF1	B cells 1:Raghu_Kalluri
GM31243	B cells 1:Raghu_Kalluri
MS4A1	B cells 1:Raghu_Kalluri
CD37	B cells 1:Raghu_Kalluri
H2-AA	B cells 1:Raghu_Kalluri
MEF2C	B cells 1:Raghu_Kalluri
IGHD	B cells 1:Raghu_Kalluri
IGHM	B cells 1:Raghu_Kalluri
FCMR	B cells 1:Raghu_Kalluri
H2-AB1	B cells 1:Raghu_Kalluri
H2-EB1	B cells 1:Raghu_Kalluri
H2-OB	B cells 1:Raghu_Kalluri
LY6E	B cells 1:Raghu_Kalluri
BANK1	B cells 1:Raghu_Kalluri
H2-OA	B cells 1:Raghu_Kalluri
BTG1	B cells 1:Raghu_Kalluri
HVCN1	B cells 1:Raghu_Kalluri
CD52	B cells 1:Raghu_Kalluri
RPS27	B cells 1:Raghu_Kalluri
CD83	B cells 1:Raghu_Kalluri
IGLC1	B cells 1:Raghu_Kalluri
H3F3A	B cells 1:Raghu_Kalluri
POLD4	B cells 1:Raghu_Kalluri
RPS27RT	B cells 1:Raghu_Kalluri
LTB	B cells 1:Raghu_Kalluri
NAPSA	B cells 1:Raghu_Kalluri
SMIM14	B cells 1:Raghu_Kalluri
CD19	B cells 1:Raghu_Kalluri
H2-DMA	B cells 1:Raghu_Kalluri
SERP1	B cells 1:Raghu_Kalluri
TNFRSF13C	B cells 1:Raghu_Kalluri
TMEM243	B cells 1:Raghu_Kalluri
POU2F2	B cells 1:Raghu_Kalluri
FCER2A	B cells 1:Raghu_Kalluri
GIMAP6	B cells 1:Raghu_Kalluri
LMO2	B cells 1:Raghu_Kalluri
RALGPS2	B cells 1:Raghu_Kalluri
FCRL1	B cells 1:Raghu_Kalluri
BCL11A	B cells 1:Raghu_Kalluri
CD72	B cells 1:Raghu_Kalluri
PTP4A3	B cells 1:Raghu_Kalluri
FAU	B cells 1:Raghu_Kalluri
SIGLECG	B cells 1:Raghu_Kalluri
SERPINB1A	B cells 1:Raghu_Kalluri
SWAP70	B cells 1:Raghu_Kalluri
RPL35	B cells 1:Raghu_Kalluri
RPS20	B cells 1:Raghu_Kalluri
RPS19	B cells 1:Raghu_Kalluri
PXDC1	B cells 1:Raghu_Kalluri
MIF4GD	B cells 1:Raghu_Kalluri
PTPN6	B cells 1:Raghu_Kalluri
PTPRCAP	B cells 1:Raghu_Kalluri
RPL36A	B cells 1:Raghu_Kalluri
RPL13A	B cells 1:Raghu_Kalluri
GM8369	B cells 1:Raghu_Kalluri
GIMAP1	B cells 1:Raghu_Kalluri
ARPC5L	B cells 1:Raghu_Kalluri
STK17B	B cells 1:Raghu_Kalluri
SHISA5	B cells 1:Raghu_Kalluri
APOBEC3	B cells 1:Raghu_Kalluri
CORO1A	B cells 1:Raghu_Kalluri
ARHGDIB	B cells 1:Raghu_Kalluri
PPDPF	B cells 1:Raghu_Kalluri
XIST	B cells 1:Raghu_Kalluri
VPREB3	B cells 2:Raghu_Kalluri
EBF1	B cells 2:Raghu_Kalluri
CHCHD10	B cells 2:Raghu_Kalluri
DNAJC7	B cells 2:Raghu_Kalluri
CD79A	B cells 2:Raghu_Kalluri
IGHM	B cells 2:Raghu_Kalluri
CD79B	B cells 2:Raghu_Kalluri
LY6D	B cells 2:Raghu_Kalluri
CD24A	B cells 2:Raghu_Kalluri
PAFAH1B3	B cells 2:Raghu_Kalluri
CD72	B cells 2:Raghu_Kalluri
H3F3A	B cells 2:Raghu_Kalluri
SOX4	B cells 2:Raghu_Kalluri
TIFA	B cells 2:Raghu_Kalluri
ATP1B1	B cells 2:Raghu_Kalluri
FCRLA	B cells 2:Raghu_Kalluri
FAM129C	B cells 2:Raghu_Kalluri
MYL4	B cells 2:Raghu_Kalluri
IGKC	B cells 2:Raghu_Kalluri
SPIB	B cells 2:Raghu_Kalluri
DOK3	B cells 2:Raghu_Kalluri
SIGLECG	B cells 2:Raghu_Kalluri
PTMA	B cells 2:Raghu_Kalluri
LRMP	B cells 2:Raghu_Kalluri
ARL5C	B cells 2:Raghu_Kalluri
MZB1	B cells 2:Raghu_Kalluri
CD37	B cells 2:Raghu_Kalluri
SEC63	B cells 2:Raghu_Kalluri
TCF3	B cells 2:Raghu_Kalluri
MALAT1	B cells 2:Raghu_Kalluri
H3F3B	B cells 2:Raghu_Kalluri
CNP	B cells 2:Raghu_Kalluri
GM30211	B cells 2:Raghu_Kalluri
BTG1	B cells 2:Raghu_Kalluri
IGLC3	B cells 2:Raghu_Kalluri
IGLC1	B cells 2:Raghu_Kalluri
