Genes	Subtypes
LAG3	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
XCL1	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
CRTAM	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
IFNG	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
CCL4	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
PDCD1	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
DUSP4	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
CD8A	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
ZEB2	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
NR4A2	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
SLA	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
NKG7	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
TIGIT	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
CTSW	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
TNFRSF9	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
TOX	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
LYST	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
TNFSF4	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
CCL3	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
GZMB	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
RAB27A	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
PRF1	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
CD70	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
PLSCR1	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
CXCL13	CD8_Tpex(precursor exhausted):santiago-Nat com 2021
LAG3	CD8_Tex(exhausted):santiago-Nat com 2021
PRF1	CD8_Tex(exhausted):santiago-Nat com 2021
CD8A	CD8_Tex(exhausted):santiago-Nat com 2021
HAVCR2	CD8_Tex(exhausted):santiago-Nat com 2021
GZMB	CD8_Tex(exhausted):santiago-Nat com 2021
NKG7	CD8_Tex(exhausted):santiago-Nat com 2021
CD8B	CD8_Tex(exhausted):santiago-Nat com 2021
CTSD	CD8_Tex(exhausted):santiago-Nat com 2021
KLRD1	CD8_Tex(exhausted):santiago-Nat com 2021
ID2	CD8_Tex(exhausted):santiago-Nat com 2021
CST7	CD8_Tex(exhausted):santiago-Nat com 2021
PDCD1	CD8_Tex(exhausted):santiago-Nat com 2021
TNFRSF9	CD8_Tex(exhausted):santiago-Nat com 2021
TIGIT	CD8_Tex(exhausted):santiago-Nat com 2021
CTSW	CD8_Tex(exhausted):santiago-Nat com 2021
