Genes	Subtypes
EVL	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
H1FX	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
AC007952.4	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
MYBL1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
STK17B	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
GLIPR1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PDCD4	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PERP	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PPP1R2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
SCML4	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
UGP2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
RHOH	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
HMGB1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PDE4D	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
TNFAIP3	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
S100A10	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
LSP1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
HIST1H1D	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
ERN1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
AREG	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CD99	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CELA2A	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
ANXA1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
ZNF683	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
GCHFR	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
S100A6	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
TMEM173	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PTGER2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PABPC1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CCL3L1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PTGER4	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
UBC	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
ANKRD28	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
NCF1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
SYTL3	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
IL2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CTRB1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
TMX4	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
SYCN	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
IL6ST	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
ATP1B1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
BTG2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
GYG1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PDE4B	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PTPN22	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PLA2G1B	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
ITGAE	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
MGAT4A	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
TRBC2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
YWHAQ	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CRYBG1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
SESN1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
EML4	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CELF2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
N4BP2L2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
FTH1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
KIAA1551	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CPA2	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
CTRC	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
NR3C1	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
PPP2R5C	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
THEMIS	CD8-CXCR6/IL7R:Chantale-canc Disc_2022
GNLY	CD8-ZNF683:Chantale-canc Disc_2022
ACTB	CD8-ZNF683:Chantale-canc Disc_2022
MTRNR2L12	CD8-ZNF683:Chantale-canc Disc_2022
LGALS1	CD8-ZNF683:Chantale-canc Disc_2022
SH3BGRL3	CD8-ZNF683:Chantale-canc Disc_2022
CD52	CD8-ZNF683:Chantale-canc Disc_2022
CKLF	CD8-ZNF683:Chantale-canc Disc_2022
VIM	CD8-ZNF683:Chantale-canc Disc_2022
TMSB4X	CD8-ZNF683:Chantale-canc Disc_2022
S100A4	CD8-ZNF683:Chantale-canc Disc_2022
ZNF683	CD8-ZNF683:Chantale-canc Disc_2022
CAPG	CD8-ZNF683:Chantale-canc Disc_2022
PFN1	CD8-ZNF683:Chantale-canc Disc_2022
CD7	CD8-ZNF683:Chantale-canc Disc_2022
GAPDH	CD8-ZNF683:Chantale-canc Disc_2022
ACTG1	CD8-ZNF683:Chantale-canc Disc_2022
LINC01871	CD8-ZNF683:Chantale-canc Disc_2022
KLRC1	CD8-ZNF683:Chantale-canc Disc_2022
S100A11	CD8-ZNF683:Chantale-canc Disc_2022
CISH	CD8-ZNF683:Chantale-canc Disc_2022
XCL1	CD8-ZNF683:Chantale-canc Disc_2022
HOPX	CD8-ZNF683:Chantale-canc Disc_2022
S100A6	CD8-ZNF683:Chantale-canc Disc_2022
SOCS1	CD8-ZNF683:Chantale-canc Disc_2022
GZMA	CD8-ZNF683:Chantale-canc Disc_2022
COTL1	CD8-ZNF683:Chantale-canc Disc_2022
PGK1	CD8-ZNF683:Chantale-canc Disc_2022
LTB	CD8-ZNF683:Chantale-canc Disc_2022
IL32	CD8-ZNF683:Chantale-canc Disc_2022
TMSB10	CD8-ZNF683:Chantale-canc Disc_2022
ALOX5AP	CD8-ZNF683:Chantale-canc Disc_2022
CD63	CD8-ZNF683:Chantale-canc Disc_2022
GZMB	CD8-ZNF683:Chantale-canc Disc_2022
TPI1	CD8-ZNF683:Chantale-canc Disc_2022
LGALS3	CD8-ZNF683:Chantale-canc Disc_2022
CCL5	CD8-ZNF683:Chantale-canc Disc_2022
DDIT4	CD8-ZNF683:Chantale-canc Disc_2022
PIM1	CD8-ZNF683:Chantale-canc Disc_2022
CD2	CD8-ZNF683:Chantale-canc Disc_2022
CD69	CD8-ZNF683:Chantale-canc Disc_2022
ENO1	CD8-ZNF683:Chantale-canc Disc_2022
MIF	CD8-ZNF683:Chantale-canc Disc_2022
ID2	CD8-ZNF683:Chantale-canc Disc_2022
ITGA1	CD8-ZNF683:Chantale-canc Disc_2022
CD3D	CD8-ZNF683:Chantale-canc Disc_2022
CRIP1	CD8-ZNF683:Chantale-canc Disc_2022
LY6E	CD8-ZNF683:Chantale-canc Disc_2022
LDHA	CD8-ZNF683:Chantale-canc Disc_2022
LCP1	CD8-ZNF683:Chantale-canc Disc_2022
UBC	CD8-ZNF683:Chantale-canc Disc_2022
EVL	CD8-ZNF683:Chantale-canc Disc_2022
PTMA	CD8-ZNF683:Chantale-canc Disc_2022
PAXX	CD8-ZNF683:Chantale-canc Disc_2022
IFI6	CD8-ZNF683:Chantale-canc Disc_2022
S100A10	CD8-ZNF683:Chantale-canc Disc_2022
JUN	CD8-ZNF683:Chantale-canc Disc_2022
ITGAE	CD8-ZNF683:Chantale-canc Disc_2022
LDLRAD4	CD8-ZNF683:Chantale-canc Disc_2022
ANXA2	CD8-ZNF683:Chantale-canc Disc_2022
KLRC2	CD8-ZNF683:Chantale-canc Disc_2022
ADGRE5	CD8-ZNF683:Chantale-canc Disc_2022
LSP1	CD8-ZNF683:Chantale-canc Disc_2022
PKM	CD8-ZNF683:Chantale-canc Disc_2022
PHPT1	CD8-ZNF683:Chantale-canc Disc_2022
ITM2C	CD8-ZNF683:Chantale-canc Disc_2022
BST2	CD8-ZNF683:Chantale-canc Disc_2022
TAGLN2	CD8-ZNF683:Chantale-canc Disc_2022
CD96	CD8-ZNF683:Chantale-canc Disc_2022
APOBEC3G	CD8-ZNF683:Chantale-canc Disc_2022
HCST	CD8-ZNF683:Chantale-canc Disc_2022
BAX	CD8-ZNF683:Chantale-canc Disc_2022
KLF6	CD8-ZNF683:Chantale-canc Disc_2022
IFI27	CD8-ZNF683:Chantale-canc Disc_2022
CLEC2B	CD8-ZNF683:Chantale-canc Disc_2022
CDC42	CD8-ZNF683:Chantale-canc Disc_2022
CD8A	CD8-ZNF683:Chantale-canc Disc_2022
TRAC	CD8-ZNF683:Chantale-canc Disc_2022
YWHAQ	CD8-ZNF683:Chantale-canc Disc_2022
CXCR3	CD8-ZNF683:Chantale-canc Disc_2022
IVNS1ABP	CD8-ZNF683:Chantale-canc Disc_2022
GNPTAB	CD8-ZNF683:Chantale-canc Disc_2022
CD3G	CD8-ZNF683:Chantale-canc Disc_2022
CBFB	CD8-ZNF683:Chantale-canc Disc_2022
PSME2	CD8-ZNF683:Chantale-canc Disc_2022
LINC02446	CD8-ZNF683:Chantale-canc Disc_2022
STK17B	CD8-ZNF683:Chantale-canc Disc_2022
RBPJ	CD8-ZNF683:Chantale-canc Disc_2022
BHLHE40	CD8-ZNF683:Chantale-canc Disc_2022
CALR	CD8-ZNF683:Chantale-canc Disc_2022
TUBB	CD8-ZNF683:Chantale-canc Disc_2022
GLUL	CD8-ZNF683:Chantale-canc Disc_2022
IFITM2	CD8-ZNF683:Chantale-canc Disc_2022
IL2RB	CD8-ZNF683:Chantale-canc Disc_2022
TYMP	CD8-ZNF683:Chantale-canc Disc_2022
OXNAD1	CD8-ZNF683:Chantale-canc Disc_2022
KRT86	CD8-ZNF683:Chantale-canc Disc_2022
SRGAP3	CD8-ZNF683:Chantale-canc Disc_2022
CYTOR	CD8-ZNF683:Chantale-canc Disc_2022
GLIPR2	CD8-ZNF683:Chantale-canc Disc_2022
CD82	CD8-ZNF683:Chantale-canc Disc_2022
NCF1	CD8-ZNF683:Chantale-canc Disc_2022
YWHAH	CD8-ZNF683:Chantale-canc Disc_2022
ZFP36L1	CD8-ZNF683:Chantale-canc Disc_2022
CD99	CD8-ZNF683:Chantale-canc Disc_2022
MRPS6	CD8-ZNF683:Chantale-canc Disc_2022
CLIC3	CD8-ZNF683:Chantale-canc Disc_2022
RGCC	CD8-ZNF683:Chantale-canc Disc_2022
PTMS	CD8-ZNF683:Chantale-canc Disc_2022
CORO1B	CD8-ZNF683:Chantale-canc Disc_2022
NDFIP2	CD8-ZNF683:Chantale-canc Disc_2022
IQGAP1	CD8-ZNF683:Chantale-canc Disc_2022
BCL2	CD8-ZNF683:Chantale-canc Disc_2022
ARF6	CD8-ZNF683:Chantale-canc Disc_2022
TMIGD2	CD8-ZNF683:Chantale-canc Disc_2022
DYNLL1	CD8-ZNF683:Chantale-canc Disc_2022
PTPN7	CD8-ZNF683:Chantale-canc Disc_2022
DOK2	CD8-ZNF683:Chantale-canc Disc_2022
HMGN2	CD8-ZNF683:Chantale-canc Disc_2022
LRRFIP1	CD8-ZNF683:Chantale-canc Disc_2022
PLEKHF1	CD8-ZNF683:Chantale-canc Disc_2022
TBCD	CD8-ZNF683:Chantale-canc Disc_2022
THEMIS	CD8-ZNF683:Chantale-canc Disc_2022
TNFRSF18	CD8-ZNF683:Chantale-canc Disc_2022
CD8B	CD8-ZNF683:Chantale-canc Disc_2022
KRT81	CD8-ZNF683:Chantale-canc Disc_2022
SPRY1	CD8-ZNF683:Chantale-canc Disc_2022
PTTG1	CD8-ZNF683:Chantale-canc Disc_2022
TUBA1B	CD8-ZNF683:Chantale-canc Disc_2022
ACP5	CD8-ZNF683:Chantale-canc Disc_2022
OASL	CD8-ZNF683:Chantale-canc Disc_2022
MIR4435-2HG	CD8-ZNF683:Chantale-canc Disc_2022
CHST12	CD8-ZNF683:Chantale-canc Disc_2022
APOBEC3C	CD8-ZNF683:Chantale-canc Disc_2022
LINC02195	CD8-ZNF683:Chantale-canc Disc_2022
EMP3	CD8-ZNF683:Chantale-canc Disc_2022
TUBB4B	CD8-ZNF683:Chantale-canc Disc_2022
SLC1A5	CD8-ZNF683:Chantale-canc Disc_2022
EIF5A	CD8-ZNF683:Chantale-canc Disc_2022
TNF	CD8-ZNF683:Chantale-canc Disc_2022
SLAMF1	CD8-ZNF683:Chantale-canc Disc_2022
FCER1G	CD8-ZNF683:Chantale-canc Disc_2022
PAG1	CD8-ZNF683:Chantale-canc Disc_2022
SLC16A3	CD8-ZNF683:Chantale-canc Disc_2022
STOM	CD8-ZNF683:Chantale-canc Disc_2022
SMPD3	CD8-ZNF683:Chantale-canc Disc_2022
SRSF3	CD8-ZNF683:Chantale-canc Disc_2022
MYH9	CD8-ZNF683:Chantale-canc Disc_2022
NBL1	CD8-ZNF683:Chantale-canc Disc_2022
GALNT2	CD8-ZNF683:Chantale-canc Disc_2022
DNAJA1	CD8-ZNF683:Chantale-canc Disc_2022
GNLY	CD8-GZMB/PRF1:Chantale-canc Disc_2022
NKG7	CD8-GZMB/PRF1:Chantale-canc Disc_2022
GZMH	CD8-GZMB/PRF1:Chantale-canc Disc_2022
GZMB	CD8-GZMB/PRF1:Chantale-canc Disc_2022
FGFBP2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PRF1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
KLF2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
KLRD1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
FCGR3A	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CST7	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CMC1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CCL3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ITGB1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CTSW	CD8-GZMB/PRF1:Chantale-canc Disc_2022
LITAF	CD8-GZMB/PRF1:Chantale-canc Disc_2022
SPON2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PLAC8	CD8-GZMB/PRF1:Chantale-canc Disc_2022
UCP2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
EFHD2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
IFITM2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TYROBP	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ITGB2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
KLRG1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
IFITM1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ADGRG1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ZEB2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TBX21	CD8-GZMB/PRF1:Chantale-canc Disc_2022
FLNA	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PLEK	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CLIC3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CD52	CD8-GZMB/PRF1:Chantale-canc Disc_2022
IRF1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PTGDS	CD8-GZMB/PRF1:Chantale-canc Disc_2022
GZMM	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CTSC	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CALR	CD8-GZMB/PRF1:Chantale-canc Disc_2022
HOPX	CD8-GZMB/PRF1:Chantale-canc Disc_2022
NEAT1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PRSS23	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CD247	CD8-GZMB/PRF1:Chantale-canc Disc_2022
EMP3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PYHIN1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ARL4C	CD8-GZMB/PRF1:Chantale-canc Disc_2022
APMAP	CD8-GZMB/PRF1:Chantale-canc Disc_2022
LYAR	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CX3CR1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TTC38	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CDC42SE1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
XBP1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
SYTL3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
AHNAK	CD8-GZMB/PRF1:Chantale-canc Disc_2022
SYNE2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
S100A4	CD8-GZMB/PRF1:Chantale-canc Disc_2022
C1orf21	CD8-GZMB/PRF1:Chantale-canc Disc_2022
SYNE1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
HCST	CD8-GZMB/PRF1:Chantale-canc Disc_2022
IQGAP2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
C12orf75	CD8-GZMB/PRF1:Chantale-canc Disc_2022
FCRL6	CD8-GZMB/PRF1:Chantale-canc Disc_2022
UBB	CD8-GZMB/PRF1:Chantale-canc Disc_2022
FTL	CD8-GZMB/PRF1:Chantale-canc Disc_2022
LINC00861	CD8-GZMB/PRF1:Chantale-canc Disc_2022
SAMD3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TGFBR3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
SAMHD1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
AOAH	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TMSB10	CD8-GZMB/PRF1:Chantale-canc Disc_2022
DIP2A	CD8-GZMB/PRF1:Chantale-canc Disc_2022
EEF1A1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
LGALS1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TRDC	CD8-GZMB/PRF1:Chantale-canc Disc_2022
AKNA	CD8-GZMB/PRF1:Chantale-canc Disc_2022
FGR	CD8-GZMB/PRF1:Chantale-canc Disc_2022
OSBPL5	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ADRB2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
FCER1G	CD8-GZMB/PRF1:Chantale-canc Disc_2022
LPCAT1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ADGRE5	CD8-GZMB/PRF1:Chantale-canc Disc_2022
GBP5	CD8-GZMB/PRF1:Chantale-canc Disc_2022
LAIR2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PATL2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PTPRE	CD8-GZMB/PRF1:Chantale-canc Disc_2022
B2M	CD8-GZMB/PRF1:Chantale-canc Disc_2022
RNF213	CD8-GZMB/PRF1:Chantale-canc Disc_2022
GSTP1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
HSH2D	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ABHD17A	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TRGC1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ISG20	CD8-GZMB/PRF1:Chantale-canc Disc_2022
S1PR1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
MACF1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
YWHAB	CD8-GZMB/PRF1:Chantale-canc Disc_2022
IFITM3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
IER2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
KIR2DL3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
AKR1C3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PFN1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TGFB1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
SH2D2A	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PTPN4	CD8-GZMB/PRF1:Chantale-canc Disc_2022
DUSP2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
FMNL1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PNISR	CD8-GZMB/PRF1:Chantale-canc Disc_2022
RNF125	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PSMB9	CD8-GZMB/PRF1:Chantale-canc Disc_2022
USP28	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ATM	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CD300A	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ITGAM	CD8-GZMB/PRF1:Chantale-canc Disc_2022
MAPK1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ITGA4	CD8-GZMB/PRF1:Chantale-canc Disc_2022
RNF115	CD8-GZMB/PRF1:Chantale-canc Disc_2022
SORL1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
C1orf56	CD8-GZMB/PRF1:Chantale-canc Disc_2022
STARD3NL	CD8-GZMB/PRF1:Chantale-canc Disc_2022
NCR1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
IGKC	CD8-GZMB/PRF1:Chantale-canc Disc_2022
MCTP2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
HMGN3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
SH3BGRL3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
GIMAP4	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TRGC2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PLEKHA1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
MYOM2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TFDP2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
LPAR6	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ZNF276	CD8-GZMB/PRF1:Chantale-canc Disc_2022
YWHAQ	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PTPN12	CD8-GZMB/PRF1:Chantale-canc Disc_2022
GSAP	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TPI1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
C1orf162	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PTGDR	CD8-GZMB/PRF1:Chantale-canc Disc_2022
IL2RG	CD8-GZMB/PRF1:Chantale-canc Disc_2022
APOBEC3C	CD8-GZMB/PRF1:Chantale-canc Disc_2022
EEF1G	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CTSD	CD8-GZMB/PRF1:Chantale-canc Disc_2022
LRRFIP1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PIM1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PRR5L	CD8-GZMB/PRF1:Chantale-canc Disc_2022
MYBL1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TXK	CD8-GZMB/PRF1:Chantale-canc Disc_2022
RRBP1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CCL5	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CASP8	CD8-GZMB/PRF1:Chantale-canc Disc_2022
HAVCR2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ZBTB44	CD8-GZMB/PRF1:Chantale-canc Disc_2022
FGL2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
LINC02384	CD8-GZMB/PRF1:Chantale-canc Disc_2022
MTSS1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ANXA1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
SELL	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TPT1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TNFRSF1B	CD8-GZMB/PRF1:Chantale-canc Disc_2022
GTF3C1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PLIN2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
BTN3A2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
COL6A2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
EOMES	CD8-GZMB/PRF1:Chantale-canc Disc_2022
MIDN	CD8-GZMB/PRF1:Chantale-canc Disc_2022
GBP2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
DOK2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PRKX	CD8-GZMB/PRF1:Chantale-canc Disc_2022
MAP3K8	CD8-GZMB/PRF1:Chantale-canc Disc_2022
RASGRP1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
S100A10	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CES1	CD8-GZMB/PRF1:Chantale-canc Disc_2022
ABI3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
IGKV3-20	CD8-GZMB/PRF1:Chantale-canc Disc_2022
IL18RAP	CD8-GZMB/PRF1:Chantale-canc Disc_2022
NOSIP	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CBX6	CD8-GZMB/PRF1:Chantale-canc Disc_2022
HIST1H4C	CD8-GZMB/PRF1:Chantale-canc Disc_2022
INPP5D	CD8-GZMB/PRF1:Chantale-canc Disc_2022
BPTF	CD8-GZMB/PRF1:Chantale-canc Disc_2022
TTC3	CD8-GZMB/PRF1:Chantale-canc Disc_2022
HIST1H1E	CD8-GZMB/PRF1:Chantale-canc Disc_2022
PTP4A2	CD8-GZMB/PRF1:Chantale-canc Disc_2022
NFAT5	CD8-GZMB/PRF1:Chantale-canc Disc_2022
SH2D1B	CD8-GZMB/PRF1:Chantale-canc Disc_2022
CXCL13	CD8-CXCL13:Chantale-canc Disc_2022
CCL4L2	CD8-CXCL13:Chantale-canc Disc_2022
GZMB	CD8-CXCL13:Chantale-canc Disc_2022
MT2A	CD8-CXCL13:Chantale-canc Disc_2022
GAPDH	CD8-CXCL13:Chantale-canc Disc_2022
CCL3	CD8-CXCL13:Chantale-canc Disc_2022
CD74	CD8-CXCL13:Chantale-canc Disc_2022
TMSB10	CD8-CXCL13:Chantale-canc Disc_2022
RBPJ	CD8-CXCL13:Chantale-canc Disc_2022
LAG3	CD8-CXCL13:Chantale-canc Disc_2022
MIF	CD8-CXCL13:Chantale-canc Disc_2022
ALOX5AP	CD8-CXCL13:Chantale-canc Disc_2022
MIR155HG	CD8-CXCL13:Chantale-canc Disc_2022
IFI6	CD8-CXCL13:Chantale-canc Disc_2022
TPI1	CD8-CXCL13:Chantale-canc Disc_2022
CCL4	CD8-CXCL13:Chantale-canc Disc_2022
S100A4	CD8-CXCL13:Chantale-canc Disc_2022
CARD16	CD8-CXCL13:Chantale-canc Disc_2022
PKM	CD8-CXCL13:Chantale-canc Disc_2022
IFITM2	CD8-CXCL13:Chantale-canc Disc_2022
SH3BGRL3	CD8-CXCL13:Chantale-canc Disc_2022
S100A11	CD8-CXCL13:Chantale-canc Disc_2022
ENTPD1	CD8-CXCL13:Chantale-canc Disc_2022
PFN1	CD8-CXCL13:Chantale-canc Disc_2022
TIGIT	CD8-CXCL13:Chantale-canc Disc_2022
CD2	CD8-CXCL13:Chantale-canc Disc_2022
HAVCR2	CD8-CXCL13:Chantale-canc Disc_2022
CD7	CD8-CXCL13:Chantale-canc Disc_2022
PTMS	CD8-CXCL13:Chantale-canc Disc_2022
BST2	CD8-CXCL13:Chantale-canc Disc_2022
IFITM1	CD8-CXCL13:Chantale-canc Disc_2022
CTLA4	CD8-CXCL13:Chantale-canc Disc_2022
ACTG1	CD8-CXCL13:Chantale-canc Disc_2022
FABP5	CD8-CXCL13:Chantale-canc Disc_2022
PSME2	CD8-CXCL13:Chantale-canc Disc_2022
STMN1	CD8-CXCL13:Chantale-canc Disc_2022
CD3D	CD8-CXCL13:Chantale-canc Disc_2022
SRGN	CD8-CXCL13:Chantale-canc Disc_2022
LY6E	CD8-CXCL13:Chantale-canc Disc_2022
CTSW	CD8-CXCL13:Chantale-canc Disc_2022
CCL5	CD8-CXCL13:Chantale-canc Disc_2022
NAP1L4	CD8-CXCL13:Chantale-canc Disc_2022
IFITM3	CD8-CXCL13:Chantale-canc Disc_2022
SNAP47	CD8-CXCL13:Chantale-canc Disc_2022
