Genes	Subtype
CD80	cDC:Science
CD86	cDC:Science
FCER1A	cDC:Science
GFRA2	cDC:Science
CCL13	cDC:Science
CCL17	cDC:Science
CLEC10A	cDC:Science
CD209	cDC:Science
KCNK13	cDC:Science
ALOX15	cDC:Science
F13A1	cDC:Science
CCL13	cDC:Science
CCL17	cDC:Science
CCL18	cDC:Science
CCL23	cDC:Science
CCL24	cDC:Science
CD209	cDC:Science
C1QA	cDC:Science
C1QB	cDC:Science
CD80	cDC:Science
FPR3	cDC:Science
HLA-DQA1	cDC:Science
IL12B	cDC:Science
CCL13	cDC:Science
CCL17	cDC:Science
CCL19	cDC:Science
CCL22	cDC:Science
CD3D	T cells:Our Paper
CD1C	DC:Our Paper
FOXP3	Tregs:Our Paper
LAG3	Tregs:Our Paper
CTLA4	Tregs:Our Paper
PD-1	Tregs:Our Paper
CCR7	Memory cell -t:Our Paper
SELL	Memory cell -t:Our Paper
TCF7	Memory cell -t:Our Paper
CXCL13	Acrtivated T:Our Paper
GZMK	Cytotoxic T:Our Paper
GZMB	Cytotoxic T:Our Paper
IFNG	Cytotoxic T:Our Paper
PRF1	Cytotoxic T:Our Paper
CCL4	Cytotoxic T:Our Paper
CXCL13	Activated:Our Paper
CD3D	Tcells: Peng
CD3E	Tcells: Peng
CD4	Tcells: Peng
CD8	Tcells: Peng
CCR7	Tcm:AziziLabs
LTB	Tcm:AziziLabs
IL7R	Tcm:AziziLabs
SARAF	Tcm:AziziLabs
SELL	Tcm:AziziLabs
CD3E	Tcm:AziziLabs
ZFP36L2	Tcm:AziziLabs
GPR183	Tcm:AziziLabs
BTG1	Tcm:AziziLabs
PASK	Tcm:AziziLabs
YPEL5	Tcm:AziziLabs
FXYD5	Tcm:AziziLabs
LEPROTL1	Tcm:AziziLabs
CD40LG	Tcm:AziziLabs
IL7R	Tem:AziziLabs
ANXA1	Tem:AziziLabs
CXCR4	Tem:AziziLabs
KLRB1	Tem:AziziLabs
TNFAIP3	Tem:AziziLabs
RGCC	Tem:AziziLabs
CD69	Tem:AziziLabs
CD40LG	Tem:AziziLabs
TSC22D3	Tem:AziziLabs
CREM	Tem:AziziLabs
CD52	Tem:AziziLabs
GPR183	Tem:AziziLabs
YPEL5	Tem:AziziLabs
SRGN	Tem:AziziLabs
CD3D	Tem:AziziLabs
CD2	Tem:AziziLabs
TRAC	Tem:AziziLabs
GPR171	Tem:AziziLabs
BIRC3	Tem:AziziLabs
PTGER4	Tem:AziziLabs
SLC2A3	Tem:AziziLabs
ZFP36L2	Tem:AziziLabs
LEPROTL1	Tem:AziziLabs
CXCL13	Tfh:AziziLabs
NMB	Tfh:AziziLabs
NR3C1	Tfh:AziziLabs
DUSP4	Tfh:AziziLabs
TNFRSF18	Tfh:AziziLabs
CD200	Tfh:AziziLabs
TNFRSF4	Tfh:AziziLabs
ITM2A	Tfh:AziziLabs
CD2	Tfh:AziziLabs
SRGN	Tfh:AziziLabs
IGFL2	Tfh:AziziLabs
CTLA4	Tfh:AziziLabs
KLRB1	Tfh:AziziLabs
RGS1	Tfh:AziziLabs
TIGIT	Tfh:AziziLabs
CD3D	Tfh:AziziLabs
CD40LG	Tfh:AziziLabs
BATF	Tfh:AziziLabs
SH2D1A	Tfh:AziziLabs
RBPJ	Tfh:AziziLabs
PDCD1	Tfh:AziziLabs
RNF19A	Tfh:AziziLabs
FKBP5	Tfh:AziziLabs
TRAC	Tfh:AziziLabs
FYB	Tfh:AziziLabs
CD3E	Tfh:AziziLabs
PGM2L1	Tfh:AziziLabs
IL21	Tfh:AziziLabs
TOX	Tfh:AziziLabs
SPOCK2	Tfh:AziziLabs
BIRC3	Tfh:AziziLabs
PTPRC	Tfh:AziziLabs
LAT	Tfh:AziziLabs
TRBC2	Tfh:AziziLabs
TNFRSF4	Treg:AziziLabs
LTB	Treg:AziziLabs
IL32	Treg:AziziLabs
BATF	Treg:AziziLabs
FOXP3	Treg:AziziLabs
TIGIT	Treg:AziziLabs
TNFRSF18	Treg:AziziLabs
CTLA4	Treg:AziziLabs
CARD16	Treg:AziziLabs
