Genes	Subtype
CD55	Angio-TAM:Qian et al:Cell review 2022
CEBPB	Angio-TAM:Qian et al:Cell review 2022
CLEC5A	Angio-TAM:Qian et al:Cell review 2022
CTSB	Angio-TAM:Qian et al:Cell review 2022
EREG	Angio-TAM:Qian et al:Cell review 2022
FCN1	Angio-TAM:Qian et al:Cell review 2022
FLT1	Angio-TAM:Qian et al:Cell review 2022
FN1	Angio-TAM:Qian et al:Cell review 2022
HES1	Angio-TAM:Qian et al:Cell review 2022
IL1B	Angio-TAM:Qian et al:Cell review 2022
IL1RN	Angio-TAM:Qian et al:Cell review 2022
IL8	Angio-TAM:Qian et al:Cell review 2022
MAF	Angio-TAM:Qian et al:Cell review 2022
MIF	Angio-TAM:Qian et al:Cell review 2022
NR1H3	Angio-TAM:Qian et al:Cell review 2022
OLR1	Angio-TAM:Qian et al:Cell review 2022
PPARG	Angio-TAM:Qian et al:Cell review 2022
S100A8	Angio-TAM:Qian et al:Cell review 2022
S100A9	Angio-TAM:Qian et al:Cell review 2022
S100A12	Angio-TAM:Qian et al:Cell review 2022
SERPINB2	Angio-TAM:Qian et al:Cell review 2022
SLC2A1	Angio-TAM:Qian et al:Cell review 2022
SPIC	Angio-TAM:Qian et al:Cell review 2022
SPP1	Angio-TAM:Qian et al:Cell review 2022
THBS1	Angio-TAM:Qian et al:Cell review 2022
TIMP1	Angio-TAM:Qian et al:Cell review 2022
VCAN	Angio-TAM:Qian et al:Cell review 2022
VEGFA	Angio-TAM:Qian et al:Cell review 2022
CCL2	Reg-TAM:Qian et al:Cell review 2022
CD274	Reg-TAM:Qian et al:Cell review 2022
CD40	Reg-TAM:Qian et al:Cell review 2022
CD80	Reg-TAM:Qian et al:Cell review 2022
CD86	Reg-TAM:Qian et al:Cell review 2022
CHIT1	Reg-TAM:Qian et al:Cell review 2022
CX3CR1	Reg-TAM:Qian et al:Cell review 2022
HLA-A	Reg-TAM:Qian et al:Cell review 2022
HLA-C	Reg-TAM:Qian et al:Cell review 2022
HLA-DQA1	Reg-TAM:Qian et al:Cell review 2022
HLA-DQB1	Reg-TAM:Qian et al:Cell review 2022
HLA-DRA	Reg-TAM:Qian et al:Cell review 2022
HLA-DRB1	Reg-TAM:Qian et al:Cell review 2022
HLA-DRB5	Reg-TAM:Qian et al:Cell review 2022
ICOSLG	Reg-TAM:Qian et al:Cell review 2022
IL-10	Reg-TAM:Qian et al:Cell review 2022
ITGA4	Reg-TAM:Qian et al:Cell review 2022
LGALS9	Reg-TAM:Qian et al:Cell review 2022
MACRO	Reg-TAM:Qian et al:Cell review 2022
MRC1	Reg-TAM:Qian et al:Cell review 2022
TGFB2	Reg-TAM:Qian et al:Cell review 2022
CCNA2	Prolif-TAM:Qian et al:Cell review 2022
CDC45	Prolif-TAM:Qian et al:Cell review 2022
CDK1	Prolif-TAM:Qian et al:Cell review 2022
H2AFC	Prolif-TAM:Qian et al:Cell review 2022
HIST1H4C	Prolif-TAM:Qian et al:Cell review 2022
HMGB1	Prolif-TAM:Qian et al:Cell review 2022
HMGN2	Prolif-TAM:Qian et al:Cell review 2022
MKI67	Prolif-TAM:Qian et al:Cell review 2022
RRM2	Prolif-TAM:Qian et al:Cell review 2022
STMN1	Prolif-TAM:Qian et al:Cell review 2022
TOP2A	Prolif-TAM:Qian et al:Cell review 2022
TUBA1B	Prolif-TAM:Qian et al:Cell review 2022
TUBB	Prolif-TAM:Qian et al:Cell review 2022
TYMS	Prolif-TAM:Qian et al:Cell review 2022
C1QA	resident-tissue macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
CIQB	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
CIQC	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
CCL7	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
CD163	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
CD5L	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
CD74	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
CETP	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
FOLR2	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
HLA-DPA1	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
HLA-DPB1	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
HLA-DRB1	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
MACRO	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
MAF	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
MS4A7	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
SLC40A1	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
VCAM1	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
VSIG4	Resident-Tissue Macrophages-TAM:Kupffer cell-Like:Qian et al:Cell review 2022
CCL18	Resident-Tissue Macrophages-TAM:Alveolar cell-Like:Qian et al:Cell review 2022
CCL23	Resident-Tissue Macrophages-TAM:Alveolar cell-Like:Qian et al:Cell review 2022
CD52	Resident-Tissue Macrophages-TAM:Alveolar cell-Like:Qian et al:Cell review 2022
FABP4	Resident-Tissue Macrophages-TAM:Alveolar cell-Like:Qian et al:Cell review 2022
FBP1	Resident-Tissue Macrophages-TAM:Alveolar cell-Like:Qian et al:Cell review 2022
LGALS3	Resident-Tissue Macrophages-TAM:Alveolar cell-Like:Qian et al:Cell review 2022
